2022-11-20 00:09:36,113  INFO | SpringApplicationShutdownHook | org.mongodb.driver.connection                          | Closed connection [connectionId{localValue:3, serverValue:85}] to localhost:27017 because the pool has been closed. 
2022-11-20 00:09:47,794  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Starting JobPortalApplication using Java 17.0.5 on aum264s-MacBook-Pro.local with PID 70069 (/Users/sabrina/Downloads/job_portal/target/classes started by sabrina in /Users/sabrina/Downloads/job_portal) 
2022-11-20 00:09:47,796  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | No active profile set, falling back to default profiles: default 
2022-11-20 00:09:47,840  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-11-20 00:09:47,840  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-11-20 00:09:48,374  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2022-11-20 00:09:48,519  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 142 ms. Found 3 MongoDB repository interfaces. 
2022-11-20 00:09:49,139  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 8080 (http) 
2022-11-20 00:09:49,148  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:09:49,148  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2022-11-20 00:09:49,148  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.52] 
2022-11-20 00:09:49,205  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2022-11-20 00:09:49,206  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 1365 ms 
2022-11-20 00:09:49,440  INFO | restartedMain | org.mongodb.driver.cluster                             | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} 
